年月日,最高気温(℃),最低気温(℃)
2014/1/1,13.1,1.5
2014/1/2,10.2,-0.8
2014/1/3,11.9,-3.0
2014/1/4,9.4,-0.9
2014/1/5,6.7,-3.3
2014/1/6,9.5,-3.3
2014/1/7,10.6,-5.3
2014/1/8,6.8,3.5
2014/1/9,9.7,1.1
2014/1/10,6.2,-2.0
2014/1/11,9.1,-3.4
2014/1/12,8.5,-4.5
2014/1/13,5.7,-2.6
2014/1/14,7.3,-4.3
2014/1/15,9.8,-2.5
2014/1/16,9.4,-3.7
2014/1/17,8.8,-2.0
2014/1/18,7.6,-3.6
2014/1/19,5.9,-1.0
2014/1/20,9.6,-4.6
2014/1/21,9.5,-0.6
2014/1/22,6.6,-2.7
2014/1/23,9.2,-2.7
2014/1/24,12.6,-4.6
2014/1/25,15.0,-1.3
2014/1/26,9.9,1.3
2014/1/27,7.8,-2.0
2014/1/28,11.9,-3.7
2014/1/29,12.9,-0.7
2014/1/30,9.9,0.5
2014/1/31,13.4,1.0
2014/2/1,15.8,-1.8
2014/2/2,15.8,6.0
2014/2/3,15.9,7.0
2014/2/4,8.7,-0.4
2014/2/5,5.4,-0.8
2014/2/6,3.8,-1.7
2014/2/7,7.9,-2.7
2014/2/8,4.3,0.3
2014/2/9,8.8,0.2
2014/2/10,6.3,-1.7
2014/2/11,6.4,-3.4
2014/2/12,9.1,-3.3
2014/2/13,6.8,0.6
2014/2/14,2.4,0.3
2014/2/15,7.0,0.3
2014/2/16,9.7,-0.7
2014/2/17,11.1,-3.1
2014/2/18,6.6,1.9
2014/2/19,7.0,-0.5
2014/2/20,9.3,-2.6
2014/2/21,7.6,-3.6
2014/2/22,9.2,-2.3
2014/2/23,10.0,-2.5
2014/2/24,11.8,-3.8
2014/2/25,14.2,-1.4
2014/2/26,15.3,-2.7
2014/2/27,13.8,9.1
2014/2/28,15.6,8.1
2014/3/1,11.7,5.9
2014/3/2,11.9,3.8
2014/3/3,9.5,-1.0
2014/3/4,14.3,-3.9
2014/3/5,10.4,3.3
2014/3/6,6.0,0.2
2014/3/7,8.1,-3.0
2014/3/8,9.2,-0.6
2014/3/9,10.5,-0.1
2014/3/10,6.9,0.5
