年月日時,海面気圧(hPa),相対湿度(％),気温(℃),降水量(mm),天気,蒸気圧(hPa),風速(m/s),風向
2020/10/1 00:00:00,1009.1,87,20.0,0.5,10,20.3,2.9,西北西
2020/10/1 1:00:00,1009.4,87,19.0,5.0,10,19.1,1.2,北北西
2020/10/1 2:00:00,1008.8,92,18.4,3.0,10,19.5,1.8,北西
2020/10/1 3:00:00,1008.9,90,18.2,0.5,10,18.8,2.6,西北西
2020/10/1 4:00:00,1009.0,89,18.2,0.0,4,18.6,1.5,北北西
2020/10/1 5:00:00,1009.7,89,17.6,0,2,17.9,1.4,北西
2020/10/1 6:00:00,1010.3,91,17.4,0,2,18.1,1.1,西北西
2020/10/1 7:00:00,1011.0,86,17.9,0,2,17.6,1.1,北
2020/10/1 8:00:00,1011.3,78,19.8,0,2,18.0,1.2,北西
2020/10/1 9:00:00,1011.6,69,21.6,0,2,17.8,0.8,南
2020/10/1 10:00:00,1011.3,56,24.0,0,2,16.7,2.9,北北東
2020/10/1 11:00:00,1011.3,47,24.8,0,2,14.7,4.1,北北西
2020/10/1 12:00:00,1011.0,46,25.5,0,2,15.0,4.2,北北西
2020/10/1 13:00:00,1010.8,42,26.2,0,2,14.3,4.0,北西
2020/10/1 14:00:00,1010.6,42,26.2,0,2,14.3,3.7,北西
2020/10/1 15:00:00,1011.0,37,26.3,0,2,12.7,5.4,北北西
2020/10/1 16:00:00,1011.3,42,25.1,0,2,13.4,5.2,北北西
2020/10/1 17:00:00,1011.9,47,23.9,0,2,13.9,4.5,北
2020/10/1 18:00:00,1012.4,55,22.5,0,2,15.0,3.2,北北西
2020/10/1 19:00:00,1013.0,63,21.5,0,2,16.2,1.6,北北西
2020/10/1 20:00:00,1013.7,64,21.1,0,2,16.0,2.0,北北東
2020/10/1 21:00:00,1014.1,69,20.6,0,2,16.7,0.1,静穏
2020/10/1 22:00:00,1014.3,72,19.9,0,2,16.7,1.5,北西
2020/10/1 23:00:00,1014.5,74,19.1,0,2,16.4,1.5,東北東
2020/10/2 00:00:00,1014.8,77,18.6,0,2,16.5,1.7,西北西
2020/10/2 1:00:00,1015.0,79,18.1,0,2,16.4,1.0,北
2020/10/2 2:00:00,1015.2,81,17.6,0,2,16.3,1.3,北
2020/10/2 3:00:00,1014.9,82,17.2,0,2,16.1,1.4,北北西
